"","B_01_MS4A1","B_02_MS4A1_CD83","B_03_MZB1","B_04_STMN1","CD4T_01_CCR7","CD4T_02_SELL","CD4T_03_GPR183","CD4T_04_BAG3","CD4T_05_CD69","CD4T_06_PLCG2","CD4T_07_CXCL13","CD4T_08_STMN1","CD4T_09_FOXP3","CD4T_10_FOXP3_CTLA4","CD4T_11_FOXP3_STMN1","CD8T_01_CCR7","CD8T_02_CX3CR1","CD8T_03_GZMK_S1PR1","CD8T_04_GNLY","CD8T_05_KLRD1","CD8T_06_CD69","CD8T_07_PLCG2","CD8T_08_GZMK","CD8T_09_PDCD1_IFNG","CD8T_10_PDCD1","CD8T_11_SLC4A10","CD8T_12_IFIT3","CD8T_13_STMN1","DC_01_CLEC9A","DC_02_CD1C","DC_03_LAMP3","DC_04_CD207","DC_05_LILRA4","DC_06_STMN1","EC_01_CLEC4A","EC_02_CLEC4A_APOA2","EC_03_TFF3","EC_04_ACKR1","EC_05_KDR","EC_06_KDR_ESM1","EC_07_KDR_APOA2","EC_08_IGFBP3","EC_09_PLCG2","EC_10_STMN1","Fb_01_FAP","Fb_02_CXCL12","Fb_03_KLF4","Fb_04_FABP4","gdT_01_GNLY_S1PR5","gdT_02_GNLY","gdT_03_KLRD1","gdT_04_STMN1","Mast","Mo_01_CD14","Mo_02_CD16","Mono-like_01_CD14","Mono-like_02_CD16","Mono-like_03_CD14CD16","MonoDC","Mph_01_MARCO","Mph_02_CCL20","Mph_03_SPP1","Mph_04_TREM2","Mph_05_IL1B","Mph_06_CXCL9","Mph_07_SLC40A1","Mph_08_APOE","Mph_09_STMN1","Mu_01_MYH11","Mu_02_ABCC9","Mu_03_STMN1","Neu_01_MMP8","Neu_02_S100A12","Neu_03_ISG15","Neu_04_TXNIP","Neu_05_ELL2","Neu_06_PTGS2","Neu_07_APOA2","Neu_08_CD74","Neu_09_IFIT1","Neu_10_SPP1","Neu_11_CCL4","NK_01_FCGR3A_CX3CR1","NK_02_FCGR3A_CXCR4","NK_03_FCGR3A_IFNG","NK_04_PLCG2","NK_05_CD160","NK_06_ITGA1","NK_07_STMN1"
"A066_ICC",1,3,0,0,0,1,127,7,68,24,4,4,0,87,1,0,0,0,9,2,270,8,2,1,8,66,23,5,1,9,0,1,2,0,1,0,7,418,96,1,2,64,0,7,26,13,8,0,0,1,2,0,1,0,0,4,0,31,0,0,2,9,357,53,9,74,68,46,129,50,1,0,0,0,0,0,0,0,0,0,4,0,0,24,2,3,21,10,3
"A067_CHC",0,1,2,0,0,3,7,39,7,1,2,2,0,19,1,0,0,0,10,0,32,6,0,23,173,7,4,18,0,1,0,0,0,1,0,0,8,0,18,0,0,22,0,1,110,1,0,0,0,38,0,0,2,0,0,9,6,2,0,1,41,49,165,7,0,8,11,7,13,42,3,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,91,11
"A068_HCC",0,1,35,1,0,0,1,3,0,1,0,0,0,41,1,0,0,0,8,0,33,5,0,0,3,2,7,7,3,7,0,1,1,2,8,0,39,24,598,0,0,41,0,32,654,4,0,0,0,3,1,0,6,0,0,1,1,4,0,0,73,80,835,3,0,9,42,100,1921,153,16,0,0,0,0,0,0,0,0,0,1,0,0,8,1,1,1,29,17
"A069_HCC",0,26,65,5,0,11,336,9,90,2,46,31,0,468,29,0,0,0,778,14,83,3,161,9,211,7,0,65,17,62,8,0,5,7,1,0,1,192,856,847,69,894,0,69,5,12,0,0,0,0,11,4,40,0,0,48,169,44,0,14,2,2,2,56,29,431,53,20,163,13,3,0,1,0,0,18,3,66,0,1,0,0,0,397,8,1,123,0,44
"A070_HCC",2,128,107,18,0,1,24,67,654,17,312,83,0,784,101,0,0,0,25,1,147,4,110,367,101,7,15,360,31,128,32,0,7,58,0,0,0,0,0,12,2,16,0,3,2,1,0,0,0,4,5,6,14,0,1,9,24,99,0,5,23,194,324,80,483,269,144,201,0,9,1,0,0,0,0,0,0,3,0,0,0,0,0,6,6,13,100,3,55
"A071_HCC",0,9,12,0,0,0,15,17,1198,18,2,20,0,18,4,0,0,0,60,0,25,3,78,0,3,14,3,24,10,35,2,0,0,6,333,4,11,243,981,129,48,311,2,38,12,275,0,0,0,0,3,2,4,0,0,3,5,44,0,114,0,7,12,10,24,636,37,45,333,419,11,0,0,0,0,7,0,33,0,0,1,0,0,70,6,3,21,0,10
"A072_HCC",9,185,194,30,6,12,30,31,960,48,600,188,0,334,30,0,2,1,300,0,500,29,10,2156,54,120,24,989,30,93,98,0,6,1,0,0,0,1,9,3,0,9,0,2,0,0,0,0,2,1,18,17,6,2,3,24,12,11,0,0,0,0,50,0,93,1,35,1,1,3,0,0,0,0,0,1,0,0,3,0,0,0,3,20,225,12,143,25,71
"A073_CHC",0,64,353,4,0,12,353,120,115,22,169,23,0,351,20,0,0,0,29,2,260,9,0,120,131,23,21,61,6,40,5,16,2,11,2,0,10,21,13,1,0,29,0,4,58,26,3,0,0,0,8,0,23,0,0,25,1,30,0,1,209,66,1226,21,87,34,68,98,70,91,1,0,0,0,0,3,21,1,297,40,37,142,0,10,24,0,31,18,9
"A074_HCC",0,3,0,0,0,1,1300,9,148,24,0,37,0,172,3,0,2,1,284,11,373,13,44,0,4,1453,10,6,35,143,7,1,4,4,0,0,1,351,693,32,17,255,0,14,0,28,0,0,0,0,13,1,1,0,0,77,32,76,0,5,7,1,0,88,5,27,8,1,739,41,2,0,0,0,1,13,16,62,0,1,2,1,0,202,5,0,94,5,6
"A074_HCC_IM",3,37,6,0,0,3,2715,61,416,82,8,83,0,301,9,0,1,0,45,0,95,11,5,1,0,2138,13,6,37,278,7,0,6,32,3,0,48,74,63,6,2,252,0,2,35,343,0,0,0,0,3,2,94,0,0,19,8,121,0,1,22,0,15,61,1,16,7,5,1421,221,5,0,0,0,0,1,2,2,0,0,2,0,0,29,5,0,9,4,9
"A075_ICC",72,80,119,2,9,8,238,66,91,218,308,40,3,361,55,0,9,0,24,0,358,281,0,496,794,37,278,304,5,42,11,0,6,5,4,0,3,3,1,0,0,13,0,2,5,1,0,0,0,6,9,0,34,6,2,50,7,12,1,10,167,47,688,10,333,12,84,38,8,8,0,0,1,0,0,3,37,0,19,149,9,153,1,34,9,12,6,36,27
"A076_HCC",0,66,1432,139,0,0,348,0,112,0,179,63,0,172,11,0,0,0,55,1,5,0,286,1,1320,1,0,323,5,9,7,0,6,1,0,0,0,4,17,26,2,14,0,3,0,0,0,0,0,0,0,1,0,0,0,2,4,32,0,0,6,29,49,23,645,111,198,98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,33,0,35
"A077_CHC",12,206,23,7,0,414,404,34,254,46,85,11,0,238,6,0,0,0,35,16,558,21,2,6,16,73,5,5,2,28,1,1,1,1,5,0,77,594,38,2,0,387,0,19,203,287,15,0,1,1,4,0,45,2,0,28,19,55,2,0,29,33,158,83,6,75,23,21,117,497,8,0,1,0,0,19,8,6,6,0,64,22,0,108,92,5,46,9,14
"A078_ICC",0,0,6,0,0,1,20,11,3,4,2,5,0,12,0,0,0,0,1,0,12,1,0,1,0,1,2,2,0,1,0,0,0,0,0,0,34,0,0,0,0,0,0,0,20,0,0,0,0,4,0,0,17,1,0,2,0,0,0,0,167,218,52,0,0,0,65,11,11,8,0,0,0,0,0,1,37,0,3,30,284,137,0,0,0,0,0,53,7
"A079_HCC",73,550,1228,132,2,18,67,56,803,162,1022,169,4,348,51,0,7,1,15,1,209,6,0,806,82,46,178,335,13,23,50,3,5,0,0,0,0,7,1,0,0,5,0,0,0,1,0,0,1,3,15,3,0,0,0,11,2,1,0,0,0,0,26,0,33,0,11,1,3,4,0,0,0,0,0,0,0,0,141,7,0,0,2,0,19,10,115,48,58
"A080_HCC",2,40,15,0,0,5,2166,1,183,7,33,29,0,329,11,0,0,0,40,6,217,0,0,1,19,175,3,14,72,192,15,0,7,14,3,0,13,87,257,8,0,239,0,2,0,1,0,0,0,0,7,0,7,0,0,6,7,19,0,1,5,1,2,4,1,7,1,0,72,5,1,0,0,0,0,0,0,0,0,0,0,0,0,37,5,0,12,10,2
"A081_ICC",99,1687,7,4,2,684,302,5,274,67,25,4,0,196,6,1,0,3,29,53,825,33,0,0,3,20,205,6,4,42,3,15,1,5,1,0,49,252,36,0,0,92,0,7,73,28,31,0,0,3,7,0,104,2,1,43,6,14,4,0,37,10,63,5,0,16,24,22,76,90,1,0,0,0,3,12,17,1,2,7,20,7,0,33,5,3,23,6,7
"A082_HCC",0,0,5,1,0,0,71,0,414,0,0,26,0,71,2,0,0,0,289,0,0,0,24,0,0,20,0,3,25,43,5,0,5,4,0,0,0,21,179,209,461,84,0,26,1,16,0,0,0,0,0,0,0,0,0,0,1,76,0,7,0,1,0,158,11,139,23,7,148,122,2,0,0,0,0,0,0,9,0,0,0,0,0,285,0,0,6,0,11
"A083_HCC",7,300,448,53,0,0,826,0,289,10,658,57,0,1084,78,0,2,0,109,33,641,18,156,13,3368,213,13,309,67,60,50,0,32,4,0,0,0,59,99,12,4,30,0,8,0,0,0,0,0,1,10,3,2,0,0,35,5,44,0,22,2,12,6,9,762,42,80,42,3,22,0,0,0,0,0,0,0,14,1,0,0,0,0,95,0,3,109,0,25
"A084_CHC",0,0,38,5,0,0,0,0,0,0,1,30,0,2,23,0,0,0,0,0,0,0,0,0,1,0,0,80,4,1,4,7,1,8,0,0,0,0,0,1,0,40,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,42,185,36,230,33,0,34,3,78,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A085_HCC",0,600,39,10,0,2,124,4,176,0,213,31,0,336,23,0,1,0,98,2,45,0,65,22,2524,19,6,235,33,89,13,0,30,10,0,0,0,0,5,11,1,2,0,1,0,5,0,0,0,0,5,0,9,0,0,9,3,10,0,4,0,10,5,46,414,24,48,44,0,13,1,0,0,0,0,0,0,9,0,0,0,0,0,23,1,1,84,0,11
"A086_HCC",1,17,2,3,0,3,46,11,16,2,37,5,0,104,34,0,2,0,12,5,51,4,6,25,140,7,4,86,2,28,2,0,4,14,0,0,0,0,4,6,0,9,0,6,6,0,0,0,0,0,2,0,3,1,0,107,54,22,0,10,447,685,62,233,246,62,137,361,0,38,8,0,0,0,0,0,0,12,0,1,6,2,1,20,4,3,31,5,4
"A087_HCC",2,126,7,0,1,2,2341,1,67,36,9,42,1,233,6,0,1,0,254,30,71,19,804,0,3,94,0,18,35,45,4,0,5,17,61,1,0,84,605,314,13,165,0,73,0,8,0,0,0,0,8,5,14,1,0,111,39,198,1,81,14,2,3,72,11,688,54,32,68,163,6,0,0,0,0,1,0,15,0,0,1,0,0,71,0,2,70,0,10
"A088_HCC",0,11,1,0,0,0,67,2,20,0,2,3,0,260,11,0,0,0,217,0,9,0,43,0,20,6,0,5,3,31,0,0,3,7,0,0,0,17,24,108,21,9,0,4,0,0,0,0,0,0,0,0,3,0,0,21,45,64,0,3,1,2,3,482,15,314,30,17,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,231,0,0,52,0,3
"A089_HCC",0,4,36,0,0,0,4,0,399,0,10,2,0,161,1,0,0,0,123,0,0,0,21,0,0,0,0,3,3,5,2,0,0,0,0,0,0,21,110,133,517,75,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,48,0,7,0,0,0,2,7,458,4,1,28,20,0,0,0,0,0,0,0,2,0,0,0,0,0,161,0,0,22,0,2
"A090_HCC",3,143,152,2,0,1,1469,5,202,20,24,88,0,414,28,0,0,0,33,0,282,7,125,0,36,164,12,16,45,120,7,5,29,22,50,3,13,118,70,25,3,170,0,2,117,101,2,0,0,1,3,1,16,0,0,64,23,136,0,101,148,99,323,627,50,457,107,98,187,169,5,0,0,0,0,4,0,45,0,24,2,6,0,384,3,1,112,7,18
"A091_HCC",17,479,54,0,4,0,3105,91,346,99,16,67,0,311,11,0,1,0,31,0,451,65,42,8,28,721,41,19,42,150,44,1,16,38,88,1,3,71,208,17,8,109,0,12,7,71,0,0,1,0,21,0,18,1,2,96,21,158,0,89,49,26,64,170,73,199,61,24,57,64,0,0,0,0,0,0,0,6,0,2,0,0,4,200,27,35,165,12,25
"A092_CRC_M",26,224,6,1,1,1,665,0,110,12,5,38,1,349,10,0,0,1,16,9,805,12,1,2,10,62,5,35,35,63,19,44,2,17,0,0,0,2,4,1,0,6,0,0,37,0,1,0,0,15,273,4,18,0,0,18,0,224,0,0,19,91,117,355,20,115,230,46,5,12,0,0,0,0,0,3,80,1,4,14,22,40,0,42,1,2,14,305,35
"A093_ICC",1,1,1,0,0,0,239,33,152,71,22,14,0,115,6,0,0,0,27,0,227,22,0,3,28,11,15,25,1,10,0,73,2,16,2,0,18,13,20,2,0,51,0,4,63,2,0,0,0,37,50,1,15,0,0,3,3,12,2,0,25,46,132,1,1,3,16,4,47,20,2,0,0,0,0,1,14,0,0,4,33,8,1,63,16,3,13,201,9
"A094_HCC",0,1,1,0,0,0,16,0,6,0,4,4,0,14,2,0,0,0,152,0,3,0,30,0,3,5,0,2,11,16,0,0,2,0,0,0,3,199,1277,224,79,317,0,9,0,6,0,0,0,0,1,0,3,0,0,8,63,12,0,0,0,0,1,10,2,21,0,1,278,11,1,0,0,0,0,0,0,7,0,0,0,0,0,274,0,0,66,0,9
"A095_HCC",0,14,0,0,0,4,659,19,101,4,9,118,0,163,17,0,0,0,24,1,75,2,38,1,260,36,6,14,8,26,4,0,5,31,0,0,0,2,22,28,8,81,0,7,29,12,0,0,0,6,42,3,3,0,0,79,10,44,0,2,98,424,37,915,45,120,67,227,0,213,12,0,0,0,0,2,0,5,0,0,15,3,0,6,3,4,333,16,89
"A096_HCC",3,341,165,3,0,1,2215,0,144,7,211,29,0,669,46,0,0,0,87,1,238,6,253,7,915,144,30,145,49,76,22,0,21,3,1,0,3,61,90,57,4,109,0,14,6,54,1,0,0,0,3,1,13,0,0,19,3,22,0,3,8,1,31,36,172,29,104,18,598,413,23,0,0,0,0,0,0,6,0,1,0,0,0,29,0,0,54,2,14
"A097_HCC",8,34,34,3,0,1,1566,0,106,33,95,52,0,201,18,0,11,2,90,3,129,3,23,4,32,339,9,17,19,58,10,1,11,10,0,0,6,5,39,58,3,87,0,3,30,42,0,0,0,0,4,0,3,0,0,36,16,41,1,6,49,50,12,220,43,190,3,28,23,210,3,0,0,0,0,2,0,62,0,4,7,1,0,32,0,3,29,1,3
"A098_HCC",0,0,0,0,0,0,84,1,49,5,0,13,1,40,1,0,0,0,93,5,165,7,9,0,0,25,0,28,36,107,1,0,3,8,1,0,0,119,1157,1893,9,519,0,110,3,76,0,0,0,1,13,4,1,0,1,92,142,110,0,4,12,15,2,56,4,477,7,11,86,13,1,0,0,0,0,1,0,2,0,0,0,0,0,598,43,6,337,1,28
"A099_HCC",3,25,78,1,0,0,69,12,21,4,50,15,0,81,1,0,0,0,9,0,48,1,0,92,449,4,16,82,14,58,4,1,8,21,0,0,0,2,17,1,0,18,5,15,153,0,1,0,0,2,1,0,24,0,0,131,15,17,0,2,765,612,120,11,49,11,122,228,1,25,3,0,0,0,0,4,10,0,17,3,37,6,1,30,5,8,10,28,25
"A100_HCC",2,20,1,0,0,3,513,57,587,150,11,117,0,273,4,0,4,1,202,2,562,31,0,6,18,234,16,32,26,150,11,0,1,3,0,0,10,44,53,5,1,1241,1,10,3,53,0,0,0,2,24,2,38,0,0,4,2,3,2,0,8,2,4,12,0,7,9,1,724,53,3,3,0,0,1,2,25,1,2,0,8,4,1,242,56,1,34,19,14
"A101_HCC",6,120,13,0,0,2,1827,63,415,45,11,26,0,907,4,0,5,0,193,0,993,19,32,1,5,187,27,6,1,31,1,0,2,8,0,0,3,439,140,21,8,211,0,5,92,77,217,0,0,0,5,0,9,1,0,71,15,17,0,0,66,50,90,111,6,63,32,16,145,143,1,0,0,0,0,0,1,4,1,0,0,0,0,54,8,1,16,3,5
"A102_HCC",0,5,22,0,2,32,68,35,433,10,11,35,0,146,4,0,3,1,666,15,708,8,0,9,1,30,15,39,61,96,14,0,1,18,0,0,1,17,10,12,0,11,0,4,0,1,0,0,1,0,83,2,163,0,2,123,118,21,1,0,19,8,5,76,5,73,12,11,14,2,0,0,0,0,0,1,5,1,0,0,0,0,3,55,576,6,199,2,27
"A103_HCC",1,5,2,0,3,1,5,80,73,1096,7,4,1,65,4,1,44,2,596,2,109,423,40,14,0,40,3,242,7,106,8,0,0,6,0,0,0,175,1819,1344,31,369,1,183,2,73,0,0,8,2,37,11,8,1,35,3,17,42,2,0,0,1,8,0,7,260,28,10,266,8,8,0,0,1,3,11,0,33,3,1,1,0,9,319,10,43,7,3,40
"A104_ICC",21,422,11,4,0,24,789,12,314,47,82,9,0,371,16,0,3,1,164,4,441,20,0,57,202,14,60,22,2,40,1,9,4,9,0,0,7,66,23,0,0,103,0,2,65,19,0,0,0,0,21,0,15,0,0,17,0,38,0,0,61,74,672,24,13,14,197,197,107,136,0,0,0,2,0,2,225,0,28,171,50,558,1,20,10,1,11,23,9
"A106_HCC",0,6,258,22,0,0,5,0,5,0,22,4,0,48,7,0,0,0,40,0,0,0,55,0,14,1,0,15,7,9,1,0,0,5,0,0,0,28,32,355,41,65,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,10,1,2,1,1155,9,280,0,129,7,84,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,110,0,7
"A107_HCC",0,521,25,1,0,0,848,0,68,1,9,24,0,113,4,0,0,0,174,2,9,0,784,0,4,55,0,18,48,86,8,0,9,8,39,3,0,64,1206,45,108,401,0,17,0,26,0,1,0,0,4,3,15,0,0,33,119,315,1,165,0,3,0,17,5,182,50,2,675,329,5,8,0,0,0,1,0,64,0,0,0,0,0,395,0,0,126,0,29
"A108_HCC",0,275,19,0,0,0,1642,3,76,5,2,169,0,192,1,0,0,0,81,9,85,3,278,0,18,267,0,23,40,85,6,0,8,31,94,1,11,143,1623,63,29,215,1,53,4,94,0,0,0,0,5,4,19,0,0,52,92,432,0,52,16,0,4,56,10,834,24,9,349,184,15,0,0,0,0,2,0,7,0,0,0,0,0,146,1,0,121,0,15
"A109_HCC",5,171,14,2,3,9,2099,203,169,148,8,11,1,177,5,0,0,0,26,9,906,71,122,1,35,434,7,58,132,221,18,0,19,15,193,5,2,21,129,21,9,16,0,22,2,43,0,0,0,1,10,0,10,0,0,77,3,105,1,284,14,8,1,232,18,183,14,21,33,36,2,0,0,0,2,18,14,136,0,6,0,7,0,60,0,11,71,3,6
"A110_HCC",0,5,11,3,0,0,48,0,12,0,0,11,0,31,1,0,0,0,143,0,4,0,42,0,16,21,0,3,2,34,1,0,4,8,0,0,0,12,145,609,46,114,0,22,1,3,0,0,0,0,0,0,15,0,0,11,13,29,0,19,2,29,0,2571,20,422,95,129,10,34,0,0,0,0,0,0,0,4,0,0,0,0,0,145,0,1,49,0,2
"A111_ICC",0,0,2,0,0,0,44,73,21,14,4,1,0,36,0,0,0,0,12,0,114,10,0,1,1,13,6,1,0,1,0,0,0,1,0,0,3,9,42,1,0,26,0,3,339,13,1,0,0,1,0,0,15,0,0,0,0,1,0,0,60,150,250,7,0,5,10,12,78,208,8,0,0,0,0,0,0,0,0,0,22,10,0,32,6,1,1,7,0
"A112_ICC",0,0,8,0,0,0,1,3,0,2,0,0,0,2,0,0,0,0,0,0,8,0,0,0,7,0,1,0,0,0,0,3,0,0,0,0,3,0,2,0,0,5,0,0,173,0,0,0,0,17,3,0,0,0,0,1,0,0,0,0,42,84,164,0,1,0,1,7,10,24,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,32,8
"A113_HCC",0,125,10,0,0,0,1421,2,175,0,50,44,0,480,10,0,0,0,28,0,0,0,293,0,14,320,0,9,25,82,5,0,10,35,0,0,0,41,183,125,97,88,0,7,0,93,0,0,0,0,0,2,10,0,0,3,6,98,0,35,1,5,3,333,149,561,35,40,481,627,9,0,0,0,0,0,0,13,0,0,0,0,0,73,0,0,119,0,12
"A114_HCC",0,11,8,0,0,0,223,0,97,0,7,23,0,126,4,0,0,0,107,0,0,0,113,0,0,25,0,3,8,47,6,0,1,5,1,1,4,26,219,229,300,93,0,41,6,48,0,0,0,0,0,0,30,0,0,6,15,96,0,5,4,7,1,157,10,171,19,14,109,245,12,1,0,0,0,0,0,70,0,0,1,0,0,108,0,0,51,0,5
"A115_ICC",13,4,3,0,6,0,3,371,41,302,13,6,0,296,11,0,1,0,6,0,27,70,0,9,5,29,67,49,3,22,1,4,2,2,4,0,22,34,36,3,0,633,0,15,747,4,0,0,1,87,1,11,2,5,0,3,1,8,2,1,9,5,149,0,4,25,24,16,138,608,63,0,0,0,0,0,0,0,0,0,4,0,0,9,31,7,43,79,24
"A116_HCC",1,9,15,0,1,22,2006,0,175,5,36,23,1,251,13,0,1,2,145,274,621,10,11,2,89,5,7,35,201,43,28,0,13,19,0,0,0,9,224,23,4,169,1,0,3,11,0,0,1,0,378,3,5,0,0,42,329,71,0,12,0,21,0,227,6,60,75,13,81,6,0,0,0,0,0,8,1,1,0,0,0,0,10,178,0,2,495,0,14
"A117_HCC",0,22,20,3,0,0,52,1,2,1,17,2,0,257,19,0,0,0,4,0,34,1,4,2,59,10,8,23,1,6,1,0,2,11,0,0,5,0,1,2,0,44,0,4,73,1,0,0,0,0,0,0,0,0,0,52,9,5,0,3,19,48,2,138,52,34,48,49,0,6,3,0,0,0,0,0,1,8,0,1,1,0,0,4,0,0,10,1,3
"A118_ICC",15,65,67,3,3,4,286,2,190,42,41,10,0,214,15,0,11,2,75,39,645,57,5,2,72,104,14,19,7,46,64,308,6,63,22,0,2,28,25,10,0,74,0,8,38,5,0,0,0,1,17,0,4,3,0,189,10,48,0,13,190,221,268,49,14,79,166,125,58,199,8,0,0,0,1,21,125,21,50,20,190,619,4,64,3,6,63,8,3
"A119_HCC",0,12,1,1,0,0,759,0,78,0,9,70,0,894,14,0,0,0,140,3,12,0,23,1,135,10,3,7,10,59,6,0,2,18,0,0,0,1,8,22,1,13,0,1,7,5,0,0,0,0,13,0,1,0,0,16,54,49,0,0,0,28,2,1190,63,189,30,87,0,21,0,0,0,0,0,0,0,14,0,0,0,0,0,309,4,0,260,0,23
"A119_HCC_IM1",0,5,3,0,0,0,709,0,47,0,20,129,0,964,56,0,0,0,154,3,17,0,47,0,57,18,4,14,9,58,4,0,3,52,0,0,0,3,134,280,40,168,0,33,48,13,0,0,0,0,11,4,4,0,0,7,13,84,0,1,5,36,5,674,50,154,15,41,6,129,5,0,0,0,0,0,0,149,0,2,0,0,0,386,0,0,128,6,30
"A119_HCC_IM2",2,18,1,1,0,8,1838,1,162,14,21,110,0,595,22,0,1,2,37,51,109,3,5,0,10,49,2,15,3,52,8,0,4,11,0,0,0,0,19,31,1,47,0,1,19,1,1,0,0,1,14,0,3,1,0,27,9,58,0,1,16,701,67,1165,38,154,110,81,1,260,4,0,1,1,1,15,32,25,0,6,6,12,0,40,6,4,44,5,14
"A120_HCC",10,4,140,4,4,2,4,33,78,77,28,2,1,52,0,0,1543,17,385,2,243,530,2,47,2,180,4,6,2,9,5,0,0,1,0,0,0,5,20,43,0,264,0,1,1,2,0,0,18,1,80,16,20,8,15,7,8,12,1,4,1,4,3,3,0,207,44,26,24,17,0,0,1,0,0,10,3,2,76,4,0,0,107,119,23,55,11,0,9
"A121_HCC",0,0,1,0,0,0,218,0,50,0,2,46,0,73,3,0,0,0,255,0,2,0,76,0,3,20,0,9,16,28,1,0,1,8,0,0,0,3,143,250,216,42,0,27,0,10,0,0,0,0,0,1,0,0,0,0,2,49,0,50,0,1,0,32,29,367,58,12,35,22,1,0,0,0,0,0,0,1,0,0,0,0,0,41,0,0,36,0,8
"A122_HCC",4,177,15,0,21,38,61,39,1487,94,16,22,1,167,4,0,3,5,135,4,621,83,7,1,4,243,11,18,13,67,0,2,2,2,31,0,3,43,55,15,61,139,0,9,52,67,0,0,6,1,16,3,11,3,0,55,4,64,3,60,11,6,76,9,9,111,33,13,121,414,7,0,0,0,0,17,4,4,2,3,8,4,0,19,99,3,25,1,2
"A123_HCC",2,252,59,0,1,1,767,20,3086,36,20,44,0,244,1,0,1,0,184,12,197,8,326,0,22,238,3,3,51,185,6,0,7,10,465,21,2,42,188,35,52,58,0,22,4,92,0,0,0,1,56,0,17,0,0,234,25,125,0,48,37,7,2,64,15,200,48,19,96,87,8,0,0,0,0,9,8,272,0,0,4,2,0,66,14,1,104,0,15
"A124_HCC",0,174,975,33,0,0,789,0,449,0,495,32,0,255,7,0,0,0,186,0,0,0,2226,0,10,1,0,170,24,13,5,0,3,0,0,0,0,23,149,52,55,24,0,13,0,0,0,0,0,0,0,0,1,0,0,1,2,37,0,37,0,0,0,1,101,26,165,4,27,9,2,0,0,0,0,0,0,37,0,0,0,0,0,5,0,0,61,0,5
