"","B_01_MS4A1","B_02_MS4A1_CD83","B_03_MZB1","B_04_STMN1","CD4T_01_CCR7","CD4T_02_SELL","CD4T_03_GPR183","CD4T_04_BAG3","CD4T_05_CD69","CD4T_06_PLCG2","CD4T_07_CXCL13","CD4T_08_STMN1","CD4T_09_FOXP3","CD4T_10_FOXP3_CTLA4","CD4T_11_FOXP3_STMN1","CD8T_01_CCR7","CD8T_02_CX3CR1","CD8T_03_GZMK_S1PR1","CD8T_04_GNLY","CD8T_05_KLRD1","CD8T_06_CD69","CD8T_07_PLCG2","CD8T_08_GZMK","CD8T_09_PDCD1_IFNG","CD8T_10_PDCD1","CD8T_11_SLC4A10","CD8T_12_IFIT3","CD8T_13_STMN1","DC_01_CLEC9A","DC_02_CD1C","DC_03_LAMP3","DC_04_CD207","DC_05_LILRA4","DC_06_STMN1","EC_01_CLEC4A","EC_02_CLEC4A_APOA2","EC_03_TFF3","EC_04_ACKR1","EC_05_KDR","EC_06_KDR_ESM1","EC_07_KDR_APOA2","EC_08_IGFBP3","EC_09_PLCG2","EC_10_STMN1","Fb_01_FAP","Fb_02_CXCL12","Fb_03_KLF4","Fb_04_FABP4","gdT_01_GNLY_S1PR5","gdT_02_GNLY","gdT_03_KLRD1","gdT_04_STMN1","Mast","Mo_01_CD14","Mo_02_CD16","Mono-like_01_CD14","Mono-like_02_CD16","Mono-like_03_CD14CD16","MonoDC","Mph_01_MARCO","Mph_02_CCL20","Mph_03_SPP1","Mph_04_TREM2","Mph_05_IL1B","Mph_06_CXCL9","Mph_07_SLC40A1","Mph_08_APOE","Mph_09_STMN1","Mu_01_MYH11","Mu_02_ABCC9","Mu_03_STMN1","Neu_01_MMP8","Neu_02_S100A12","Neu_03_ISG15","Neu_04_TXNIP","Neu_05_ELL2","Neu_06_PTGS2","Neu_07_APOA2","Neu_08_CD74","Neu_09_IFIT1","Neu_10_SPP1","Neu_11_CCL4","NK_01_FCGR3A_CX3CR1","NK_02_FCGR3A_CXCR4","NK_03_FCGR3A_IFNG","NK_04_PLCG2","NK_05_CD160","NK_06_ITGA1","NK_07_STMN1"
"A038_CHC_IM2",63,5,612,50,8,0,0,6,11,204,140,6,2,443,27,0,2,1,2,0,17,10,0,237,3,2,4,42,0,7,2,13,0,3,0,0,0,10,1,2,0,46,0,1,6,3,0,0,0,6,0,0,1,1,0,0,0,2,0,0,7,3,627,0,4,1,181,145,16,74,1,0,0,0,0,1,3,0,1178,1,1,2,4,2,1,4,0,4,0
"A039_HCC",2,101,32,54,0,0,597,3,124,0,121,101,0,374,11,0,0,0,89,0,28,2,549,1,53,75,1,49,12,36,3,0,4,14,1,0,26,36,204,31,59,107,0,121,21,101,0,0,0,0,0,0,9,0,0,10,0,47,0,3,13,0,6,344,22,436,7,41,659,271,10,0,0,0,0,0,0,1,0,0,0,0,0,71,0,0,124,1,24
"A041_CRC_M",3,3,11,1,0,0,220,1,34,27,29,7,0,82,5,0,0,0,19,0,169,8,0,0,3,27,22,8,1,10,0,0,2,0,3,0,0,6,28,0,0,25,0,5,81,4,0,0,0,1,2,0,1,1,0,21,2,12,0,3,136,986,222,29,2,75,264,105,25,52,9,0,0,0,0,1,9,0,1,8,140,18,0,8,0,0,6,8,4
"A042_BRC_M",2,2,18,2,0,1,16,322,22,58,4,3,0,27,1,0,1,0,8,0,56,200,0,2,0,3,16,12,6,7,0,0,0,0,6,0,20,82,305,1,0,133,0,13,92,7,25,0,0,6,0,0,3,2,0,8,2,1,0,5,14,18,305,0,6,10,63,37,52,47,1,0,0,0,0,0,0,0,0,1,1,0,0,13,9,4,1,0,2
"A043_HCC",0,35,125,11,0,0,7,0,1761,0,32,20,0,322,18,0,0,0,27,0,0,0,41,0,1,1,0,255,8,4,1,0,0,4,0,0,0,1,16,62,180,38,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,34,0,2,1,0,0,10,47,1960,8,112,15,57,0,0,0,0,0,0,0,13,0,0,0,0,0,45,0,0,48,0,17
"A044_HCC",1,146,15,0,0,3,271,872,278,108,21,24,0,103,0,0,0,0,225,0,199,27,25,1,17,126,2,13,64,140,8,1,3,29,59,0,211,495,1421,105,7,499,2,28,13,57,1,0,0,0,3,1,14,0,4,42,53,141,0,41,13,19,23,23,18,608,76,20,497,424,12,0,0,0,0,2,2,2,0,0,0,0,0,160,309,2,26,0,16
"A045_CRC_M",0,2,6,0,0,0,135,0,49,2,9,62,0,174,18,0,0,0,40,7,22,1,56,0,11,20,4,22,40,67,24,0,16,10,2,0,0,89,500,201,49,180,0,40,2,2,0,0,0,0,0,2,13,0,0,30,39,611,0,43,14,13,1,138,95,2057,41,170,32,23,0,0,0,0,0,2,0,56,0,2,0,0,0,216,1,1,102,0,32
"A046_HCC",53,427,478,21,2,15,17,233,546,138,745,53,1,1124,70,1,1,0,12,0,632,50,0,4810,19,28,362,553,2,13,4,1,1,0,4,0,4,34,3,0,0,35,0,1,4,4,0,0,0,17,3,2,7,0,0,6,1,3,0,2,19,0,307,1,29,4,25,33,28,15,0,0,0,0,0,0,0,0,2,0,0,0,0,4,16,4,47,22,30
"A047_HCC",2,22,53,9,0,3,315,19,323,6,160,47,0,534,32,0,0,0,84,14,426,37,45,602,2389,18,2,386,13,14,3,1,3,2,0,0,0,0,8,8,0,6,0,8,16,1,11,0,0,1,11,3,2,3,0,40,8,7,0,10,238,754,49,504,443,719,453,307,2,45,6,0,0,0,0,1,0,21,1,0,4,0,0,30,25,1,8,0,7
"A048_ICC",6,0,3,0,0,0,0,120,3,540,0,2,0,113,1,0,6,0,3,0,7,444,0,9,5,1,28,61,0,17,0,3,1,2,0,0,5,2,15,1,0,2,0,0,78,0,0,0,0,441,2,15,4,2,2,2,0,2,0,0,4,72,355,0,1,3,64,11,6,15,3,0,0,0,0,0,0,0,0,1,3,0,0,9,2,13,1,244,36
